Пройденные курсы			
Название курсов (Специализация)	"Проводившая организация
(Учебное заведение)"	Сертификат об обучении	Ссылка
1.Пользователь ПЭВМ.                    2.Программирование на языке TURBO PASCAL 7.0 3.Компьютерные сети.          4.Создание Wеb-сайтов.               5.Работа в сети Интернет. 6.Компьютерная графика (CorelDRAW, Photoshop)                 7.Устройство, ремонт и тестирование ПЭВМ.	Республиканский Центр технического творчества учащихся	Характеристика	Характеристика
IT Essentials: PC Hardware and Software Version	Минский государственный колледж сферы обслуживания	Есть	Сертификат
Основы работы с Яндекс	Национальный Открытый Университет «ИНТУИТ»	Электронный	Сертификат
Всемирная Сеть (WWW) - использование и приложения	Национальный Открытый Университет «ИНТУИТ»	Электронный	Сертификат
Повышение квалификации. Присвоение 5-го разряда электромонтера	Государственный центр повышения квалификации руководящих работников и специалистов «ЖИЛКОМ»	Свидетельство	Свидетельство
Обучение мерам пожарной безопасности рабочих и служащих организаций и предприятий Министерства ЖКХ РБ	Государственный центр повышения квалификации руководящих работников и специалистов «ЖИЛКОМ»	Справка об обучении	Справка
Старт в SMM	Центр онлайн-образования «Нетология»	Электронный	Свидетельство
Основы интернет-маркетинга: старт в профессии	Центр онлайн-образования «Нетология»	Электронный	Свидетельство
Как создавать контент для бизнеса	Центр онлайн-образования «Нетология»	Электронный	Сертификат
Полезные навыки работы в Excel, о которых не знают профи	Центр онлайн-образования «Нетология»	Электронный	Сертификат
Основы Adobe Photoshop	Центр онлайн-образования «Нетология»	Электронный	Сертификат
Введение в мобильный маркетинг	Appbooster Academy                  (Stepik - образовательная платформа)	Электронный	Сертификат
Первая помощь при остановке сердца (базовая реанимация)	Крымский симуляционный центр экстренной медицины (Stepik - образовательная платформа)	Электронный	Сертификат
Безопасность в интернете	Академия Яндекса            (Stepik - образовательная платформа)	Электронный	Сертификат
Мобильная реклама в Facebook	"Advert School
 (Stepik - образовательная платформа)"	Электронный	Сертификат
Введение в кибербезопасность	"Дальневосточный федеральный университет
 (Stepik - образовательная платформа)"	Электронный	Сертификат
Основные инструменты современного Excel	Центр развития инновационных технологий «ИТ-Планета» (ПРОНАВЫКИ)	Электронный	Сертификат
Навыки влияния и убеждения	Центр развития инновационных технологий «ИТ-Планета» (ПРОНАВЫКИ)	Электронный	Сертификат
Инклюзивные инструменты Microsoft	Центр развития инновационных технологий «ИТ-Планета» (ПРОНАВЫКИ)	Электронный	Сертификат
Терминология продаж	Центр развития инновационных технологий «ИТ-Планета» (ПРОНАВЫКИ)	Электронный	Сертификат
Право и этика искусственного интеллекта	"Дальневосточный федеральный университет
 (Stepik - образовательная платформа)"	Электронный	Сертификат
Бережливое производство. Базовый курс	"Дальневосточный федеральный университет
 (Stepik - образовательная платформа)"	Электронный	Сертификат
Развитие личного бренда	Центр развития инновационных технологий «ИТ-Планета» (ПРОНАВЫКИ)	Электронный	Сертификат
Основы профессии "Менеджер по продажам"	Центр развития инновационных технологий «ИТ-Планета» (ПРОНАВЫКИ)	Электронный	Сертификат
Эпоха цифрового развития: основы цифровой трансформации	"Центр подготовки руководителей и команд ЦТ ВШГУ РАНХиГС
 (Stepik - образовательная платформа)"	Электронный	Сертификат
Стрессоустойчивость	Центр развития инновационных технологий «ИТ-Планета» (ПРОНАВЫКИ)	Электронный	Сертификат
Основы интернет-маркетинга	Центр развития инновационных технологий «ИТ-Планета» (ПРОНАВЫКИ)	Электронный	Сертификат
Основы профессии "Интернет-маркетолог"	Центр развития инновационных технологий «ИТ-Планета» (ПРОНАВЫКИ)	Электронный	Сертификат
ИТ-Администрирование	Центр развития инновационных технологий «ИТ-Планета» (ПРОНАВЫКИ)	Электронный	Сертификат
Инструменты уверенного пользования ПК	Центр развития инновационных технологий «ИТ-Планета» (ПРОНАВЫКИ)	Электронный	Сертификат
Деловые коммуникации	"Российский университет дружбы народов
 (Stepik - образовательная платформа)"	Электронный	Сертификат
